anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2024,11,2024-11,Chubut,Producción convencional,196354.01638,216436.17976,214683.94361,217991.64204666662,1752.2361500000115
2024,12,2024-12,Chubut,Producción convencional,208902.13296,196354.01638,216436.17976,209158.04658333331,-20082.163380000013
2025,1,2025-01,Chubut,Producción convencional,204158.35153,208902.13296,196354.01638,207230.77636666666,12548.116580000002
2025,2,2025-02,Chubut,Producción convencional,183247.29207208,204158.35153,208902.13296,203138.16695666665,-4743.781429999974
2025,3,2025-03,Chubut,Producción convencional,194109.16604125,183247.29207208,204158.35153,198769.25885402664,-20911.059457920026
2025,4,2025-04,Chubut,Producción convencional,192489.62171,194109.16604125,183247.29207208,193838.26988110997,10861.873969170003
2025,5,2025-05,Chubut,Producción convencional,194446.04755,192489.62171,194109.16604125,189948.6932744433,-1619.5443312499847
2025,6,2025-06,Chubut,Producción convencional,186220.8202,194446.04755,192489.62171,193681.61176708332,1956.4258399999817
2025,7,2025-07,Chubut,Producción convencional,196296.11069,186220.8202,194446.04755,191052.16315333333,-8225.227350000001
2025,8,2025-08,Chubut,Producción convencional,189752.11912,196296.11069,186220.8202,192320.99281333332,10075.290490000014
2025,9,2025-09,Chubut,Producción convencional,179144.09692,189752.11912,196296.11069,190756.3500033333,-6543.991570000013
2025,10,2025-10,Chubut,Producción convencional,189122.26794,179144.09692,189752.11912,188397.44224333332,-10608.022199999978
2025,11,2025-11,Chubut,Producción convencional,176246.70872,189122.26794,179144.09692,186006.16132666668,9978.17101999998
2025,12,2025-12,Chubut,Producción convencional,183229.40274,176246.70872,189122.26794,181504.35785999996,-12875.559219999996
2026,1,2026-01,Chubut,Producción convencional,180883.08896,183229.40274,176246.70872,182866.12646666667,6982.694019999995
2026,2,2026-02,Chubut,Producción convencional,158578.13181,180883.08896,183229.40274,180119.7334733333,-2346.3137799999968
2026,3,2026-03,Chubut,Producción convencional,167456.63191,158578.13181,180883.08896,174230.20783666664,-22304.957150000002
2026,4,2026-04,Chubut,Producción convencional,19707.38179,167456.63191,158578.13181,168972.61755999996,8878.500100000005
2009,4,2009-04,Neuquén,Producción convencional,1917769.810986,2003700.877434,1740679.61391,1901277.564069,263021.26352399983
2009,5,2009-05,Neuquén,Producción convencional,1971056.188203,1917769.810986,2003700.877434,1887383.43411,-85931.0664479998
2009,6,2009-06,Neuquén,Producción convencional,1944060.82125,1971056.188203,1917769.810986,1964175.625541,53286.377216999885
2009,7,2009-07,Neuquén,Producción convencional,1991552.74299,1944060.82125,1971056.188203,1944295.6068129998,-26995.36695299996
2009,8,2009-08,Neuquén,Producción convencional,1925018.21492,1991552.74299,1944060.82125,1968889.9174809998,47491.9217399999
2009,9,2009-09,Neuquén,Producción convencional,1811846.07929,1925018.21492,1991552.74299,1953543.9263866667,-66534.52807
2009,10,2009-10,Neuquén,Producción convencional,1863337.72629,1811846.07929,1925018.21492,1909472.3457333334,-113172.13562999992
2009,11,2009-11,Neuquén,Producción convencional,1618153.33894,1863337.72629,1811846.07929,1866734.0068333333,51491.64699999988
2009,12,2009-12,Neuquén,Producción convencional,1732425.44486,1618153.33894,1863337.72629,1764445.7148399998,-245184.38734999998
2010,1,2010-01,Neuquén,Producción convencional,1767073.74501,1732425.44486,1618153.33894,1737972.17003,114272.10592
2010,2,2010-02,Neuquén,Producción convencional,1651631.20062,1767073.74501,1732425.44486,1705884.17627,34648.300150000025
2010,3,2010-03,Neuquén,Producción convencional,1787758.43068,1651631.20062,1767073.74501,1717043.4634966666,-115442.54438999994
2010,4,2010-04,Neuquén,Producción convencional,1752438.20168,1787758.43068,1651631.20062,1735487.7921033334,136127.23005999997
2010,5,2010-05,Neuquén,Producción convencional,1885635.87929,1752438.20168,1787758.43068,1730609.27766,-35320.22900000005
2010,6,2010-06,Neuquén,Producción convencional,1810795.42329,1885635.87929,1752438.20168,1808610.8372166667,133197.67761000013
2010,7,2010-07,Neuquén,Producción convencional,1854291.45223,1810795.42329,1885635.87929,1816289.8347533334,-74840.456
2010,8,2010-08,Neuquén,Producción convencional,1876768.437841,1854291.45223,1810795.42329,1850240.91827,43496.02893999987
2010,9,2010-09,Neuquén,Producción convencional,1792913.7813,1876768.437841,1854291.45223,1847285.1044536668,22476.9856110001
2010,10,2010-10,Neuquén,Producción convencional,1794672.00442,1792913.7813,1876768.437841,1841324.5571236666,-83854.65654100012
2010,11,2010-11,Neuquén,Producción convencional,1668451.88728,1794672.00442,1792913.7813,1821451.4078536667,1758.2231199999806
2010,12,2010-12,Neuquén,Producción convencional,1756608.75943,1668451.88728,1794672.00442,1752012.5576666666,-126220.11713999999
2011,1,2011-01,Neuquén,Producción convencional,1731892.78765,1756608.75943,1668451.88728,1739910.88371,88156.87215000018
2011,2,2011-02,Neuquén,Producción convencional,1562747.98665,1731892.78765,1756608.75943,1718984.47812,-24715.97178000002
2011,3,2011-03,Neuquén,Producción convencional,1717618.73696,1562747.98665,1731892.78765,1683749.8445766668,-169144.80099999998
2011,4,2011-04,Neuquén,Producción convencional,1621662.83106,1717618.73696,1562747.98665,1670753.17042,154870.7503099998
2011,5,2011-05,Neuquén,Producción convencional,1709286.32197,1621662.83106,1717618.73696,1634009.8515566664,-95955.9058999999
2011,6,2011-06,Neuquén,Producción convencional,1670939.52115,1709286.32197,1621662.83106,1682855.96333,87623.49090999993
2011,7,2011-07,Neuquén,Producción convencional,1701972.68114,1670939.52115,1709286.32197,1667296.2247266667,-38346.800820000004
2011,8,2011-08,Neuquén,Producción convencional,1653983.19374,1701972.68114,1670939.52115,1694066.1747533334,31033.159990000073
2011,9,2011-09,Neuquén,Producción convencional,1608977.25791,1653983.19374,1701972.68114,1675631.7986766668,-47989.48739999998
2011,10,2011-10,Neuquén,Producción convencional,1648162.24294,1608977.25791,1653983.19374,1654977.7109299998,-45005.93583000009
2011,11,2011-11,Neuquén,Producción convencional,1585263.59203,1648162.24294,1608977.25791,1637040.8981966665,39184.9850300001
2011,12,2011-12,Neuquén,Producción convencional,1581657.9368,1585263.59203,1648162.24294,1614134.3642933331,-62898.650910000084
2012,1,2012-01,Neuquén,Producción convencional,1601375.53153,1581657.9368,1585263.59203,1605027.9239233334,-3605.6552299999166
2012,2,2012-02,Neuquén,Producción convencional,1417567.9427,1601375.53153,1581657.9368,1589432.3534533333,19717.59473000001
2012,3,2012-03,Neuquén,Producción convencional,1557641.93269,1417567.9427,1601375.53153,1533533.8036766667,-183807.58883000002
2012,4,2012-04,Neuquén,Producción convencional,1484093.94674,1557641.93269,1417567.9427,1525528.4689733332,140073.9899899999
2012,5,2012-05,Neuquén,Producción convencional,1521011.16538,1484093.94674,1557641.93269,1486434.6073766667,-73547.98594999989
2012,6,2012-06,Neuquén,Producción convencional,1459608.3648289,1521011.16538,1484093.94674,1520915.6816033332,36917.21863999986
2012,7,2012-07,Neuquén,Producción convencional,1494475.37096,1459608.3648289,1521011.16538,1488237.8256496333,-61402.800551099936
2012,8,2012-08,Neuquén,Producción convencional,1506308.66847,1494475.37096,1459608.3648289,1491698.3003896333,34867.0061311
2012,9,2012-09,Neuquén,Producción convencional,1431695.20837,1506308.66847,1494475.37096,1486797.4680862997,11833.297509999946
2012,10,2012-10,Neuquén,Producción convencional,1458310.74936,1431695.20837,1506308.66847,1477493.0826,-74613.46010000003
2012,11,2012-11,Neuquén,Producción convencional,1377394.2809,1458310.74936,1431695.20837,1465438.2087333333,26615.540990000125
2012,12,2012-12,Neuquén,Producción convencional,1373630.00896,1377394.2809,1458310.74936,1422466.7462100002,-80916.46846000012
2013,1,2013-01,Neuquén,Producción convencional,1381538.18234,1373630.00896,1377394.2809,1403111.6797399998,-3764.2719399998896
2013,2,2013-02,Neuquén,Producción convencional,1249526.97093,1381538.18234,1373630.00896,1377520.8240666667,7908.173380000051
2013,3,2013-03,Neuquén,Producción convencional,1354277.45027,1249526.97093,1381538.18234,1334898.38741,-132011.21141
2013,4,2013-04,Neuquén,Producción convencional,1311858.13019,1354277.45027,1249526.97093,1328447.534513333,104750.47933999985
2013,5,2013-05,Neuquén,Producción convencional,1360544.79557,1311858.13019,1354277.45027,1305220.8504633333,-42419.320079999976
2013,6,2013-06,Neuquén,Producción convencional,1324282.949927,1360544.79557,1311858.13019,1342226.79201,48686.66538000014
2013,7,2013-07,Neuquén,Producción convencional,1353610.26597,1324282.949927,1360544.79557,1332228.625229,-36261.84564299998
2013,8,2013-08,Neuquén,Producción convencional,1356932.02722,1353610.26597,1324282.949927,1346146.0038223334,29327.31604299997
2013,9,2013-09,Neuquén,Producción convencional,1293301.20456,1356932.02722,1353610.26597,1344941.7477056668,3321.7612499999814
2013,10,2013-10,Neuquén,Producción convencional,1320572.19782,1293301.20456,1356932.02722,1334614.49925,-63630.82266000006
2013,11,2013-11,Neuquén,Producción convencional,1274002.58799,1320572.19782,1293301.20456,1323601.8098666666,27270.9932599999
