anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2009,8,2009-08,Santa Cruz,Shale gas,0
2009,8,2009-08,Santa Cruz,Tight gas,755.492
2009,8,2009-08,Tierra del Fuego,Producción convencional,389545.996
2009,8,2009-08,Tierra del Fuego,Shale gas,0
2009,8,2009-08,Tierra del Fuego,Tight gas,0
2009,9,2009-09,Chubut,Producción convencional,296960.8440
2009,9,2009-09,Chubut,Shale gas,0
2009,9,2009-09,Chubut,Tight gas,0
2009,9,2009-09,Estado Nacional,Producción convencional,244092.629
2009,9,2009-09,Estado Nacional,Shale gas,0
2009,9,2009-09,Estado Nacional,Tight gas,0
2009,9,2009-09,Formosa,Producción convencional,3151.02
2009,9,2009-09,Formosa,Shale gas,0
2009,9,2009-09,Formosa,Tight gas,0
2009,9,2009-09,Jujuy,Producción convencional,377.090000
2009,9,2009-09,Jujuy,Shale gas,0
2009,9,2009-09,Jujuy,Tight gas,0
2009,9,2009-09,La Pampa,Producción convencional,37627.341
2009,9,2009-09,La Pampa,Shale gas,0
2009,9,2009-09,La Pampa,Tight gas,0
2009,9,2009-09,Mendoza,Producción convencional,189146.7144
2009,9,2009-09,Mendoza,Shale gas,0
2009,9,2009-09,Mendoza,Tight gas,0
2009,9,2009-09,Neuquén,Producción convencional,1811846.07929000
2009,9,2009-09,Neuquén,Shale gas,712.804
2009,9,2009-09,Neuquén,Tight gas,73557.31521
2009,9,2009-09,Rio Negro,Producción convencional,54400.12500000
2009,9,2009-09,Rio Negro,Shale gas,0
2009,9,2009-09,Rio Negro,Tight gas,10594.216
2009,9,2009-09,Salta,Producción convencional,508857.427
2009,9,2009-09,Salta,Shale gas,0
2009,9,2009-09,Salta,Tight gas,0
2009,9,2009-09,San Juan,Producción convencional,0
2009,9,2009-09,San Juan,Shale gas,0
2009,9,2009-09,San Juan,Tight gas,0
2009,9,2009-09,Santa Cruz,Producción convencional,411245.5933
2009,9,2009-09,Santa Cruz,Shale gas,0
2009,9,2009-09,Santa Cruz,Tight gas,891.951
2009,9,2009-09,Tierra del Fuego,Producción convencional,350965.888
2009,9,2009-09,Tierra del Fuego,Shale gas,0
2009,9,2009-09,Tierra del Fuego,Tight gas,0
2009,10,2009-10,Chubut,Producción convencional,299115.6903
2009,10,2009-10,Chubut,Shale gas,0
